0.004 6.2600  4606.72
0.004 6.3200  4627.30
0.004 6.3800  4635.44
0.004 6.4400  4653.30
0.004 6.5000  4644.42
0.004 6.5600  4659.91
0.004 6.6200  4663.44
0.004 6.6800  4700.50
0.004 6.7400  4743.61
0.004 6.8000  4776.93
0.004 6.8600  4800.70
0.004 6.9200  4830.86
0.004 6.9800  4836.52
0.004 7.0400  4864.02
0.004 7.1000  4862.60
0.004 7.1600  4878.38
0.004 7.2200  4874.50
0.004 7.2800  4876.03
0.004 7.3400  4911.58
0.004 7.4000  4955.27
0.004 7.4600  4975.78
0.004 7.5200  5016.50
0.004 7.5800  5027.31
0.004 7.6400  5057.86
0.004 7.7000  5065.91
0.004 7.7600  5080.99
0.004 7.8200  5086.57
0.004 7.8800  5087.62
0.004 7.9400  5090.92
0.004 8.0000  5117.09

0.006 2.0000  2643.80
0.006 2.0600  2669.44
0.006 2.1200  2834.27
0.006 2.1800  3355.64
0.006 2.2400  2947.93
0.006 2.3000  2767.91
0.006 2.3600  2836.72
0.006 2.4200  2887.22
0.006 2.4800  2928.48
0.006 2.5400  2967.64
0.006 2.6000  2989.16
0.006 2.6600  2999.20
0.006 2.7200  3013.59
0.006 2.7800  3010.47
0.006 2.8400  3044.09
0.006 2.9000  3106.52
0.006 2.9600  3162.81
0.006 3.0200  3214.60
0.006 3.0800  3246.97
0.006 3.1400  3275.43
0.006 3.2000  3300.28
0.006 3.2600  3305.75
0.006 3.3200  3316.40
0.006 3.3800  3686.94
0.006 3.4400  3336.93
0.006 3.5000  3401.15
0.006 3.5600  3444.79
0.006 3.6200  3491.56
0.006 3.6800  3528.01
0.006 3.7400  3543.80
0.006 3.8000  3574.17
0.006 3.8600  3584.89
0.006 3.9200  3589.06
0.006 3.9800  3596.17
0.006 4.0400  3587.58
0.006 4.1000  3651.83
0.006 4.1600  3701.72
0.006 4.2200  3735.54
0.006 4.2800  3780.03
0.006 4.3400  3802.67
0.006 4.4000  3826.01
0.006 4.4600  3844.52
0.006 4.5200  3844.01
0.006 4.5800  3859.36
0.006 4.6400  3852.28
0.006 4.7000  3874.83
0.006 4.7600  3932.86
0.006 4.8200  3967.72
0.006 4.8800  4009.79
0.006 4.9400  4039.96
0.006 5.0000  4141.29
0.006 5.0600  4083.81
0.006 5.1200  4086.50
0.006 5.1800  4102.63
0.006 5.2400  4102.37
0.006 5.3000  4100.01
0.006 5.3600  4136.81
0.006 5.4200  4179.52
0.006 5.4800  4214.72
0.006 5.5400  4253.47
0.006 5.6000  4267.35
0.006 5.6600  4301.49
0.006 5.7200  4312.12
0.006 5.7800  4326.29
0.006 5.8400  4334.33
0.006 5.9000  4330.83
0.006 5.9600  4336.71
0.006 6.0200  4369.88
0.006 6.0800  4399.38
0.006 6.1400  4448.13
0.006 6.2000  4470.80
0.006 6.2600  4502.14
0.006 6.3200  4521.74
0.006 6.3800  4534.06
0.006 6.4400  4551.10
0.006 6.5000  4546.29
0.006 6.5600  4561.13
0.006 6.6200  4548.90
0.006 6.6800  4576.63
0.006 6.7400  4624.45
0.006 6.8000  4656.26
0.006 6.8600  4684.70
0.006 6.9200  4713.53
0.006 6.9800  4723.78
0.006 7.0400  4750.13
0.006 7.1000  4748.36
0.006 7.1600  4768.00
0.006 7.2200  4763.92
0.006 7.2800  4769.19
0.006 7.3400  4780.98
0.006 7.4000  4822.70
0.006 7.4600  4848.33
0.006 7.5200  4887.26
0.006 7.5800  4897.19
0.006 7.6400  4932.06
0.006 7.7000  4939.40
0.006 7.7600  4958.70
0.006 7.8200  4963.74
0.006 7.8800  4968.89
0.006 7.9400  4971.83
0.006 8.0000  4972.36

0.008 2.0000  2612.35
0.008 2.0600  2637.62
0.008 2.1200  2750.52
0.008 2.1800  3274.03
0.008 2.2400  2863.64
0.008 2.3000  2725.17
0.008 2.3600  2792.97
0.008 2.4200  2842.74
0.008 2.4800  2887.08
