#      t/s        x/m       fs/N     v/(m/s)  a/(m/s/s)       p/N
   +0.0000         +0         +0         +0         +0    +0.0000
   +0.0100  +2.07e-13  +1.65e-06  +6.21e-11 +1.242e-08    +0.0004
   +0.0200 +2.893e-12 +2.306e-05 +6.196e-10 +9.907e-08    +0.0035
   +0.0300 +1.793e-11  +0.000143 +2.778e-09 +3.325e-07    +0.0118
   +0.0400 +6.982e-11 +0.0005566  +8.35e-09  +7.82e-07    +0.0279
   +0.0500 +2.046e-10  +0.001631 +1.982e-08 +1.512e-06    +0.0545
   +0.0600 +4.962e-10  +0.003955 +4.028e-08  +2.58e-06    +0.0942
   +0.0700 +1.052e-09  +0.008388 +7.336e-08 +4.036e-06    +0.1497
   +0.0800 +2.019e-09   +0.01609 +1.232e-07 +5.923e-06    +0.2234
   +0.0900 +3.586e-09   +0.02858 +1.941e-07 +8.271e-06    +0.3181
   +0.1000 +5.988e-09   +0.04773  +2.91e-07  +1.11e-05    +0.4363
   +0.1100 +9.508e-09   +0.07579 +4.186e-07 +1.442e-05    +0.5807
   +0.1200 +1.448e-08    +0.1154 +5.819e-07 +1.824e-05    +0.7538
   +0.1300 +2.128e-08    +0.1696 +7.858e-07 +2.253e-05    +0.9583
   +0.1400 +3.035e-08    +0.2419 +1.035e-06 +2.728e-05    +1.1968
   +0.1500 +4.214e-08     +0.336 +1.334e-06 +3.245e-05    +1.4718
   +0.1600 +5.719e-08    +0.4559 +1.686e-06   +3.8e-05    +1.7859
   +0.1700 +7.605e-08    +0.6062 +2.095e-06 +4.387e-05    +2.1417
   +0.1800  +9.93e-08    +0.7916 +2.564e-06     +5e-05    +2.5416
   +0.1900 +1.275e-07     +1.017 +3.096e-06 +5.633e-05    +2.9884
   +0.2000 +1.614e-07     +1.287 +3.692e-06 +6.278e-05    +3.4843
   +0.2100 +2.016e-07     +1.607 +4.352e-06 +6.928e-05    +4.0319
   +0.2200 +2.487e-07     +1.982 +5.077e-06 +7.575e-05    +4.6336
   +0.2300 +3.034e-07     +2.418 +5.866e-06  +8.21e-05    +5.2919
   +0.2400 +3.662e-07     +2.919 +6.718e-06 +8.827e-05    +6.0090
   +0.2500 +4.379e-07     +3.491 +7.631e-06 +9.418e-05    +6.7873
   +0.2600  +5.19e-07     +4.138   +8.6e-06 +9.976e-05    +7.6290
   +0.2700 +6.101e-07     +4.864 +9.624e-06 +0.0001049    +8.5363
   +0.2800 +7.117e-07     +5.673  +1.07e-05 +0.0001097    +9.5113
   +0.2900 +8.242e-07      +6.57 +1.181e-05 +0.0001139   +10.5559
   +0.3000 +9.481e-07     +7.558 +1.297e-05 +0.0001176   +11.6723
   +0.3100 +1.084e-06     +8.639 +1.416e-05 +0.0001207   +12.8621
   +0.3200 +1.231e-06     +9.817 +1.538e-05 +0.0001232   +14.1271
   +0.3300 +1.391e-06     +11.09 +1.662e-05 +0.0001251   +15.4689
   +0.3400 +1.564e-06     +12.47 +1.788e-05 +0.0001263   +16.8890
   +0.3500 +1.749e-06     +13.94 +1.915e-05  +0.000127   +18.3887
   +0.3600 +1.947e-06     +15.52 +2.042e-05 +0.0001271   +19.9692
   +0.3700 +2.157e-06      +17.2 +2.169e-05 +0.0001267   +21.6314
   +0.3800 +2.381e-06     +18.98 +2.295e-05 +0.0001257   +23.3762
   +0.3900 +2.616e-06     +20.86  +2.42e-05 +0.0001242   +25.2042
   +0.4000 +2.864e-06     +22.83 +2.543e-05 +0.0001223   +27.1158
   +0.4100 +3.125e-06     +24.91 +2.664e-05   +0.00012   +29.1111
   +0.4200 +3.397e-06     +27.08 +2.783e-05 +0.0001174   +31.1901
   +0.4300 +3.681e-06     +29.35 +2.899e-05 +0.0001145   +33.3524
   +0.4400 +3.977e-06      +31.7 +3.012e-05 +0.0001113   +35.5975
   +0.4500 +4.284e-06     +34.15 +3.121e-05 +0.0001079   +37.9243
   +0.4600 +4.601e-06     +36.68 +3.227e-05 +0.0001044   +40.3317
   +0.4700 +4.929e-06     +39.29  +3.33e-05 +0.0001008   +42.8181
   +0.4800 +5.267e-06     +41.99 +3.429e-05 +9.701e-05   +45.3815
   +0.4900 +5.615e-06     +44.76 +3.524e-05 +9.321e-05   +48.0198
   +0.5000 +5.972e-06      +47.6 +3.615e-05 +8.933e-05   +50.7301
   +0.5100 +6.338e-06     +50.52 +3.703e-05  +8.54e-05   +53.5095
   +0.5200 +6.712e-06     +53.51 +3.786e-05  +8.14e-05   +56.3545
   +0.5300 +7.095e-06     +56.56 +3.865e-05  +7.73e-05   +59.2610
   +0.5400 +7.485e-06     +59.67 +3.941e-05 +7.307e-05   +62.2248
   +0.5500 +7.883e-06     +62.84 +4.011e-05 +6.868e-05   +65.2410
   +0.5600 +8.287e-06     +66.06 +4.078e-05 +6.407e-05   +68.3041
   +0.5700 +8.698e-06     +69.34 +4.139e-05 +5.918e-05   +71.4084
   +0.5800 +9.115e-06     +72.66 +4.196e-05 +5.393e-05   +74.5474
   +0.5900 +9.537e-06     +76.03 +4.247e-05 +4.825e-05   +77.7144
   +0.6000 +9.964e-06     +79.43 +4.292e-05 +4.206e-05   +80.9017
   +0.6100  +1.04e-05     +82.87 +4.331e-05 +3.527e-05   +84.1015
   +0.6200 +1.083e-05     +86.33 +4.362e-05 +2.779e-05   +87.3052
   +0.6300 +1.127e-05     +89.82 +4.386e-05 +1.952e-05   +90.5036
   +0.6400 +1.171e-05     +93.32 +4.401e-05  +1.04e-05   +93.6871
   +0.6500 +1.215e-05     +96.83 +4.406e-05 +3.176e-07   +96.8455
   +0.6600 +1.259e-05     +100.3 +4.401e-05 -1.079e-05   +99.9680
   +0.6700 +1.303e-05     +103.8 +4.384e-05 -2.301e-05  +103.0431
   +0.6800 +1.346e-05     +107.3 +4.355e-05 -3.638e-05  +106.0589
   +0.6900  +1.39e-05     +110.8 +4.311e-05 -5.098e-05  +109.0030
   +0.7000 +1.433e-05     +114.2 +4.252e-05 -6.683e-05  +111.8623
   +0.7100 +1.475e-05     +117.6 +4.177e-05 -8.396e-05  +114.6234
   +0.7200 +1.516e-05     +120.9 +4.083e-05 -0.0001024  +117.2722
   +0.7300 +1.556e-05     +124.1 +3.971e-05 -0.0001221  +119.7942
   +0.7400 +1.595e-05     +127.2 +3.839e-05 -0.0001431  +122.1746
   +0.7500 +1.633e-05     +130.2 +3.685e-05 -0.0001652  +124.3981
   +0.7600 +1.669e-05       +133 +3.508e-05 -0.0001886  +126.4489
   +0.7700 +1.703e-05     +135.8 +3.307e-05  -0.000213  +128.3112
   +0.7800 +1.735e-05     +138.3 +3.081e-05 -0.0002385  +129.9686
   +0.7900 +1.765e-05     +140.7 +2.829e-05 -0.0002648  +131.4047
   +0.8000 +1.792e-05     +142.8 +2.551e-05 -0.0002919  +132.6029
   +0.8100 +1.816e-05     +144.7 +2.245e-05 -0.0003196  +133.5466
   +0.8200 +1.836e-05     +146.4 +1.912e-05 -0.0003478  +134.2190
   +0.8300 +1.854e-05     +147.8  +1.55e-05 -0.0003763  +134.6036
   +0.8400 +1.867e-05     +148.9 +1.159e-05 -0.0004049  +134.6839
   +0.8500 +1.877e-05     +149.6 +7.399e-06 -0.0004334  +134.4436
   +0.8600 +1.882e-05       +150 +2.923e-06 -0.0004617  +133.8669
   +0.8700 +1.883e-05     +150.1 -1.833e-06 -0.0004895  +132.9384
   +0.8800 +1.878e-05     +149.7 -6.864e-06 -0.0005167  +131.6431
   +0.8900 +1.869e-05       +149 -1.216e-05  -0.000543  +129.9668
   +0.9000 +1.854e-05     +147.8 -1.772e-05 -0.0005681  +127.8960
   +0.9100 +1.833e-05     +146.1 -2.352e-05  -0.000592  +125.4182
   +0.9200 +1.807e-05       +144 -2.955e-05 -0.0006144  +122.5218
   +0.9300 +1.774e-05     +141.4  -3.58e-05  -0.000635  +119.1964
   +0.9400 +1.735e-05     +138.3 -4.224e-05 -0.0006537  +115.4329
   +0.9500  +1.69e-05     +134.7 -4.886e-05 -0.0006703  +111.2234
   +0.9600 +1.637e-05     +130.5 -5.563e-05 -0.0006845  +106.5619
   +0.9700 +1.578e-05     +125.8 -6.254e-05 -0.0006962  +101.4438
   +0.9800 +1.512e-05     +120.5 -6.954e-05 -0.0007051   +95.8665
   +0.9900 +1.439e-05     +114.7 -7.663e-05 -0.0007112   +89.8292
   +1.0000 +1.359e-05     +108.3 -8.375e-05 -0.0007141   +83.3333
   +1.0100 +1.272e-05     +101.4 -9.089e-05 -0.0007138   +76.3825
   +1.0200 +1.177e-05     +93.84 -9.801e-05 -0.0007101   +68.9826
   +1.0300 +1.076e-05     +85.74 -0.0001051 -0.0007029   +61.1420
   +1.0400  +9.67e-06     +77.09 -0.0001121 -0.0006919   +52.8720
   +1.0500 +8.515e-06     +67.88 -0.0001189  -0.000677   +44.1860
   +1.0600 +7.293e-06     +58.14 -0.0001256 -0.0006581   +35.1008
   +1.0700 +6.005e-06     +47.87  -0.000132 -0.0006352   +25.6357
   +1.0800 +4.653e-06     +37.09 -0.0001383  -0.000608   +15.8132
   +1.0900 +3.241e-06     +25.83 -0.0001442 -0.0005764    +5.6588
   +1.1000 +1.771e-06     +14.11 -0.0001498 -0.0005404    -4.7991
   +1.1100 +2.467e-07     +1.967  -0.000155 -0.0004999   -15.5287
   +1.1200 -1.327e-06     -10.58 -0.0001597 -0.0004547   -26.4951
   +1.1300 -2.946e-06     -23.49  -0.000164 -0.0004049   -37.6604
   +1.1400 -4.606e-06     -36.72 -0.0001678 -0.0003505   -48.9834
   +1.1500 -6.301e-06     -50.23  -0.000171 -0.0002913   -60.4200
   +1.1600 -8.024e-06     -63.97 -0.0001736 -0.0002273   -71.9231
   +1.1700 -9.771e-06     -77.89 -0.0001755 -0.0001587   -83.4425
   +1.1800 -1.153e-05     -91.93 -0.0001768 -8.546e-05   -94.9253
   +1.1900  -1.33e-05       -106 -0.0001772 -7.645e-06  -106.3162
   +1.2000 -1.507e-05     -120.2 -0.0001769 +7.461e-05  -117.5571
   +1.2100 -1.684e-05     -134.2 -0.0001757 +0.0001612  -128.5878
   +1.2200 -1.859e-05     -148.2 -0.0001736 +0.0002518  -139.3464
   +1.2300 -2.031e-05     -161.9 -0.0001707 +0.0003463  -149.7688
   +1.2400   -2.2e-05     -175.3 -0.0001667 +0.0004443  -159.7898
   +1.2500 -2.364e-05     -188.4 -0.0001618 +0.0005456  -169.3431
   +1.2600 -2.523e-05     -201.1 -0.0001558 +0.0006498  -178.3615
   +1.2700 -2.675e-05     -213.2 -0.0001487 +0.0007563  -186.7777
   +1.2800  -2.82e-05     -224.8 -0.0001406 +0.0008647  -194.5245
   +1.2900 -2.956e-05     -235.6 -0.0001314 +0.0009745  -201.5352
   +1.3000 -3.082e-05     -245.7 -0.0001211  +0.001085  -207.7443
   +1.3100 -3.198e-05     -254.9 -0.0001097  +0.001195  -213.0876
   +1.3200 -3.302e-05     -263.2 -9.724e-05  +0.001305  -217.5034
   +1.3300 -3.392e-05     -270.4 -8.365e-05  +0.001413  -220.9323
   +1.3400 -3.468e-05     -276.5 -6.899e-05  +0.001519  -223.3185
   +1.3500  -3.53e-05     -281.4 -5.328e-05  +0.001622  -224.6098
   +1.3600 -3.575e-05       -285 -3.657e-05   +0.00172  -224.7584
   +1.3700 -3.603e-05     -287.2 -1.891e-05  +0.001813  -223.7216
   +1.3800 -3.612e-05       -288 -3.428e-07    +0.0019  -221.4625
   +1.3900 -3.603e-05     -287.2 +1.905e-05  +0.001979  -217.9502
   +1.4000 -3.574e-05     -284.9 +3.919e-05   +0.00205  -213.1606
   +1.4100 -3.524e-05     -280.9 +5.999e-05  +0.002111  -207.0772
   +1.4200 -3.454e-05     -275.3 +8.135e-05  +0.002161  -199.6914
   +1.4300 -3.361e-05       -268 +0.0001031  +0.002199  -191.0028
   +1.4400 -3.247e-05     -258.9 +0.0001253  +0.002224  -181.0203
   +1.4500 -3.111e-05       -248 +0.0001476  +0.002235  -169.7621
   +1.4600 -2.952e-05     -235.3 +0.0001699  +0.002231  -157.2559
   +1.4700 -2.771e-05     -220.9 +0.0001921   +0.00221  -143.5400
   +1.4800 -2.568e-05     -204.7  +0.000214  +0.002173  -128.6627
   +1.4900 -2.343e-05     -186.8 +0.0002355  +0.002118  -112.6830
   +1.5000 -2.097e-05     -167.2 +0.0002563  +0.002044   -95.6709
   +1.5100 -1.831e-05       -146 +0.0002762   +0.00195   -77.7066
   +1.5200 -1.545e-05     -123.2 +0.0002952  +0.001837   -58.8815
   +1.5300 -1.241e-05     -98.94 +0.0003129  +0.001704   -39.2972
   +1.5400   -9.2e-06     -73.34 +0.0003292  +0.001551   -19.0659
   +1.5500 -5.833e-06      -46.5 +0.0003438  +0.001377    +1.6908
   +1.5600  -2.33e-06     -18.57 +0.0003566  +0.001183   +22.8413
   +1.5700 +1.292e-06      +10.3 +0.0003674   +0.00097   +44.2456
   +1.5800  +5.01e-06     +39.94 +0.0003759 +0.0007377   +65.7554
   +1.5900 +8.801e-06     +70.16  +0.000382 +0.0004872   +87.2152
   +1.6000 +1.264e-05     +100.8 +0.0003856 +0.0002197  +108.4631
   +1.6100  +1.65e-05     +131.6 +0.0003863  -6.36e-05  +129.3321
   +1.6200 +2.036e-05     +162.3 +0.0003842 -0.0003611  +149.6511
   +1.6300 +2.418e-05     +192.7 +0.0003791 -0.0006711  +169.2463
   +1.6400 +2.793e-05     +222.6 +0.0003707 -0.0009913  +187.9425
   +1.6500 +3.158e-05     +251.8 +0.0003592   -0.00132  +205.5648
   +1.6600  +3.51e-05     +279.8 +0.0003443  -0.001654  +221.9400
   +1.6700 +3.846e-05     +306.6 +0.0003261   -0.00199  +236.8984
   +1.6800 +4.161e-05     +331.7 +0.0003045  -0.002327  +250.2756
   +1.6900 +4.454e-05       +355 +0.0002796   -0.00266  +261.9142
   +1.7000 +4.719e-05     +376.2 +0.0002513  -0.002987  +271.6656
   +1.7100 +4.955e-05       +395 +0.0002199  -0.003303  +279.3920
   +1.7200 +5.158e-05     +411.2 +0.0001853  -0.003606  +284.9683
   +1.7300 +5.325e-05     +424.5 +0.0001479  -0.003891  +288.2835
   +1.7400 +5.453e-05     +434.7 +0.0001076  -0.004155  +289.2433
   +1.7500 +5.539e-05     +441.6 +6.488e-05  -0.004394  +287.7710
   +1.7600 +5.582e-05       +445 +1.988e-05  -0.004604  +283.8097
   +1.7700 +5.578e-05     +444.7 -2.705e-05  -0.004782  +277.3236
   +1.7800 +5.527e-05     +440.6 -7.557e-05  -0.004923  +268.2996
   +1.7900 +5.427e-05     +432.6 -0.0001253  -0.005025  +256.7483
   +1.8000 +5.276e-05     +420.6 -0.0001758  -0.005083  +242.7051
   +1.8100 +5.075e-05     +404.6 -0.0002267  -0.005095  +226.2313
   +1.8200 +4.823e-05     +384.5 -0.0002775  -0.005058  +207.4143
   +1.8300  +4.52e-05     +360.3 -0.0003277   -0.00497  +186.3683
   +1.8400 +4.168e-05     +332.3 -0.0003767  -0.004829  +163.2342
   +1.8500 +3.767e-05     +300.3  -0.000424  -0.004633  +138.1793
   +1.8600 +3.321e-05     +264.7  -0.000469  -0.004381  +111.3971
   +1.8700  +2.83e-05     +225.6 -0.0005113  -0.004072   +83.1058
   +1.8800 +2.299e-05     +183.3 -0.0005502  -0.003707   +53.5479
   +1.8900 +1.731e-05       +138 -0.0005852  -0.003286   +22.9878
   +1.9000 +1.131e-05     +90.12 -0.0006156  -0.002812    -8.2894
   +1.9100 +5.017e-06     +39.99 -0.0006411  -0.002285   -39.9804
   +1.9200 -1.499e-06     -11.95 -0.0006611  -0.001709   -71.7666
   +1.9300 -8.185e-06     -65.25 -0.0006751  -0.001088  -103.3166
   +1.9400 -1.498e-05     -119.4 -0.0006826 -0.0004252  -134.2895
   +1.9500 -2.182e-05     -173.9 -0.0006834 +0.0002733  -164.3386
   +1.9600 -2.862e-05     -228.2  -0.000677  +0.001002  -193.1152
   +1.9700 -3.533e-05     -281.6 -0.0006633  +0.001754  -220.2722
   +1.9800 -4.186e-05     -333.7 -0.0006419  +0.002521  -245.4689
   +1.9900 -4.814e-05     -383.8 -0.0006128  +0.003297  -268.3750
   +2.0000 -5.409e-05     -431.2 -0.0005759  +0.004072  -288.6751
   +2.0100 -5.964e-05     -475.4 -0.0005314  +0.004838  -306.0734
   +2.0200  -6.47e-05     -515.7 -0.0004793  +0.005584  -320.2978
   +2.0300  -6.92e-05     -551.6 -0.0004199    +0.0063  -331.1048
   +2.0400 -7.307e-05     -582.5 -0.0003535  +0.006977  -338.2833
   +2.0500 -7.625e-05     -607.8 -0.0002806  +0.007604  -341.6593
   +2.0600 -7.866e-05     -627.1 -0.0002017   +0.00817  -341.0991
   +2.0700 -8.026e-05     -639.8 -0.0001175  +0.008666  -336.5130
   +2.0800   -8.1e-05     -645.7 -2.879e-05   +0.00908  -327.8585
   +2.0900 -8.082e-05     -644.3 +6.364e-05  +0.009405  -315.1426
   +2.1000 -7.971e-05     -635.5 +0.0001588  +0.009629  -298.4241
   +2.1100 -7.764e-05     -618.9 +0.0002557  +0.009746  -277.8147
   +2.1200  -7.46e-05     -594.7 +0.0003532  +0.009748  -253.4803
   +2.1300 -7.058e-05     -562.6   +0.00045  +0.009629  -225.6404
   +2.1400  -6.56e-05       -523 +0.0005451  +0.009383  -194.5677
   +2.1500 -5.969e-05     -475.8 +0.0006371  +0.009007  -160.5868
   +2.1600 -5.288e-05     -421.5 +0.0007246  +0.008498  -124.0715
   +2.1700 -4.522e-05     -360.5 +0.0008064  +0.007858   -85.4418
   +2.1800 -3.677e-05     -293.1 +0.0008811  +0.007085   -45.1602
   +2.1900 -2.762e-05     -220.2 +0.0009474  +0.006185    -3.7266
   +2.2000 -1.786e-05     -142.4  +0.001004  +0.005162   +38.3271
   +2.2100 -7.577e-06      -60.4   +0.00105  +0.004024   +80.4435
   +2.2200 +3.105e-06     +24.75  +0.001084   +0.00278  +122.0465
   +2.2300 +1.406e-05     +112.1  +0.001105  +0.001441  +162.5489
   +2.2400 +2.516e-05     +200.6  +0.001113 +2.199e-05  +201.3606
   +2.2500 +3.626e-05     +289.1  +0.001105  -0.001463  +237.8975
   +2.2600 +4.722e-05     +376.4  +0.001083  -0.002995  +271.5899
   +2.2700 +5.787e-05     +461.4  +0.001045  -0.004556  +301.8919
   +2.2800 +6.807e-05     +542.7 +0.0009919  -0.006125  +328.2909
   +2.2900 +7.766e-05     +619.1 +0.0009229  -0.007679  +350.3160
   +2.3000 +8.648e-05     +689.4 +0.0008385  -0.009195  +367.5476
   +2.3100 +9.438e-05     +752.4 +0.0007393   -0.01065  +379.6253
   +2.3200 +0.0001012     +806.9 +0.0006259   -0.01202  +386.2563
   +2.3300 +0.0001069     +851.8 +0.0004995   -0.01327  +387.2224
   +2.3400 +0.0001112     +886.2 +0.0003611   -0.01439  +382.3863
   +2.3500  +0.000114     +909.1 +0.0002124   -0.01535  +371.6970
   +2.3600 +0.0001154     +919.8 +5.496e-05   -0.01613  +355.1940
   +2.3700 +0.0001151     +917.7 -0.0001092   -0.01671  +333.0099
   +2.3800 +0.0001132     +902.3  -0.000278   -0.01705  +305.3720
   +2.3900 +0.0001096     +873.3 -0.0004491   -0.01716  +272.6019
   +2.4000 +0.0001042     +830.7   -0.00062   -0.01702  +235.1141
   +2.4100 +9.716e-05     +774.5 -0.0007881    -0.0166  +193.4122
   +2.4200 +8.846e-05     +705.2 -0.0009507   -0.01592  +148.0841
   +2.4300 +7.817e-05     +623.2  -0.001105   -0.01495   +99.7948
   +2.4400  +6.64e-05     +529.3  -0.001248   -0.01371   +49.2784
   +2.4500 +5.325e-05     +424.5  -0.001378   -0.01221    -2.6725
   +2.4600 +3.889e-05       +310  -0.001491   -0.01044   -55.2180
   +2.4700 +2.349e-05     +187.3  -0.001585  -0.008421  -107.4838
   +2.4800 +7.253e-06     +57.81  -0.001659  -0.006183  -158.5756
   +2.4900 -9.601e-06     -76.54  -0.001708  -0.003745  -207.5941
   +2.5000 -2.683e-05     -213.8  -0.001733  -0.001137  -253.6506
   +2.5100 -4.416e-05     -352.1   -0.00173  +0.001605  -295.8838
   +2.5200 -6.134e-05       -489    -0.0017  +0.004442  -333.4760
   +2.5300 -7.807e-05     -622.3  -0.001641  +0.007333  -365.6698
   +2.5400 -9.406e-05     -749.8  -0.001553   +0.01023  -391.7842
   +2.5500  -0.000109     -869.2  -0.001437   +0.01308  -411.2296
   +2.5600 -0.0001227     -978.1  -0.001292   +0.01585  -423.5226
   +2.5700 -0.0001348      -1074  -0.001121   +0.01846  -428.2981
   +2.5800  -0.000145      -1156 -0.0009238   +0.02088  -425.3211
   +2.5900 -0.0001532      -1221 -0.0007042   +0.02305  -414.4952
   +2.6000  -0.000159      -1268 -0.0004644   +0.02491  -395.8697
   +2.6100 -0.0001624      -1295 -0.0002076   +0.02643  -369.6433
   +2.6200 -0.0001632      -1301  +6.23e-05   +0.02756  -336.1658
   +2.6300 -0.0001611      -1285 +0.0003413   +0.02825  -295.9362
   +2.6400 -0.0001563      -1246 +0.0006249   +0.02847  -249.5983
   +2.6500 -0.0001486      -1185 +0.0009083    +0.0282  -197.9326
   +2.6600 -0.0001382      -1101  +0.001186   +0.02742  -141.8452
   +2.6700  -0.000125     -996.1  +0.001454   +0.02611   -82.3545
   +2.6800 -0.0001091       -870  +0.001706   +0.02427   -20.5736
   +2.6900 -9.091e-05     -724.7  +0.001937   +0.02191   +42.3087
   +2.7000 -7.049e-05     -561.9  +0.002142   +0.01906  +105.0504
   +2.7100 -4.818e-05     -384.1  +0.002316   +0.01573  +166.3795
   +2.7200  -2.43e-05     -193.7  +0.002454   +0.01196  +225.0202
   +2.7300 +7.694e-07     +6.134  +0.002553  +0.007817  +279.7190
   +2.7400 +2.661e-05     +212.2  +0.002609  +0.003346  +329.2727
   +2.7500 +5.279e-05     +420.8  +0.002619  -0.001379  +372.5547
   +2.7600 +7.882e-05     +628.4   +0.00258   -0.00628  +408.5428
   +2.7700 +0.0001042     +830.9  +0.002492   -0.01127  +436.3436
   +2.7800 +0.0001285      +1024  +0.002355   -0.01626  +455.2171
   +2.7900 +0.0001512      +1205  +0.002168   -0.02115  +464.5972
   +2.8000 +0.0001717      +1369  +0.001933   -0.02585  +464.1102
   +2.8100 +0.0001897      +1512  +0.001652   -0.03024  +453.5893
   +2.8200 +0.0002046      +1631   +0.00133   -0.03423  +433.0847
   +2.8300 +0.0002161      +1723 +0.0009702   -0.03772  +402.8700
   +2.8400 +0.0002239      +1785 +0.0005786   -0.04061  +363.4426
   +2.8500 +0.0002276      +1815 +0.0001614   -0.04283  +315.5199
   +2.8600 +0.0002271      +1810 -0.0002742   -0.04429  +260.0298
   +2.8700 +0.0002221      +1771 -0.0007203   -0.04493  +198.0957
   +2.8800 +0.0002127      +1695  -0.001168   -0.04469  +131.0169
   +2.8900 +0.0001988      +1584   -0.00161   -0.04355   +60.2437
   +2.9000 +0.0001805      +1439  -0.002035   -0.04148   -12.6522
   +2.9100 +0.0001582      +1261  -0.002434   -0.03848   -86.0111
   +2.9200 +0.0001319      +1052    -0.0028   -0.03457  -158.1219
   +2.9300 +0.0001023     +815.5  -0.003122   -0.02979  -227.2619
   +2.9400 +6.969e-05     +555.5  -0.003392   -0.02421  -291.7381
   +2.9500 +3.467e-05     +276.4  -0.003602   -0.01789  -349.9288
   +2.9600 -2.132e-06     -16.99  -0.003746   -0.01095  -400.3262
   +2.9700 -4.002e-05       -319  -0.003819  -0.003502  -441.5765
   +2.9800 -7.825e-05     -623.8  -0.003814  +0.004321  -472.5185
   +2.9900  -0.000116       -925  -0.003731   +0.01237  -492.2184
   +3.0000 -0.0001526      -1216  -0.003567   +0.02047  -500.0000
   +3.0100 -0.0001871      -1492  -0.003322   +0.02846  -495.4698
   +3.0200 -0.0002188      -1744  -0.002999   +0.03616  -478.5353
   +3.0300 -0.0002468      -1968  -0.002601   +0.04338  -449.4169
   +3.0400 -0.0002706      -2157  -0.002135   +0.04995  -408.6509
   +3.0500 -0.0002893      -2306  -0.001607    +0.0557  -357.0857
   +3.0600 -0.0003025      -2412  -0.001026   +0.06045  -295.8686
   +3.0700 -0.0003097      -2469 -0.0004032   +0.06407  -226.4245
   +3.0800 -0.0003105      -2475 +0.0002493   +0.06642  -150.4268
   +3.0900 -0.0003047      -2429 +0.0009184    +0.0674   -69.7599
   +3.1000 -0.0002921      -2329   +0.00159   +0.06692   +13.5248
   +3.1100 -0.0002729      -2176  +0.002249   +0.06494   +97.2593
   +3.1200 -0.0002472      -1971  +0.002881   +0.06143  +179.2143
   +3.1300 -0.0002154      -1717   +0.00347   +0.05641  +257.1583
   +3.1400  -0.000178      -1419  +0.004002   +0.04994  +328.9183
   +3.1500 -0.0001356      -1081  +0.004462    +0.0421  +392.4419
   +3.1600 -8.905e-05     -709.9  +0.004838   +0.03302  +445.8576
   +3.1700 -3.919e-05     -312.4  +0.005117   +0.02285  +487.5321
   +3.1800 +1.294e-05     +103.2  +0.005291    +0.0118  +516.1233
   +3.1900 +6.624e-05     +528.1   +0.00535 +7.296e-05  +530.6263
   +3.2000 +0.0001195       +953   +0.00529   -0.01207  +530.4117
   +3.2100 +0.0001716      +1368  +0.005108   -0.02437  +515.2543
   +3.2200 +0.0002213      +1764  +0.004803   -0.03653  +485.3510
   +3.2300 +0.0002673      +2131  +0.004379   -0.04827  +441.3269
   +3.2400 +0.0003085      +2459  +0.003841   -0.05929  +384.2293
   +3.2500 +0.0003438      +2740  +0.003199   -0.06928  +315.5088
   +3.2600 +0.0003722      +2967  +0.002462   -0.07799  +236.9877
   +3.2700 +0.0003928      +3131  +0.001646   -0.08515  +150.8166
   +3.2800 +0.0004049      +3228 +0.0007682   -0.09052   +59.4190
   +3.2900  +0.000408      +3252  -0.000154   -0.09391   -34.5734
   +3.3000 +0.0004017      +3202  -0.001099   -0.09516  -128.3950
   +3.3100  +0.000386      +3077  -0.002046   -0.09418  -219.2258
   +3.3200 +0.0003609      +2877  -0.002971   -0.09089  -304.2768
   +3.3300 +0.0003267      +2604  -0.003852   -0.08529  -380.8759
   +3.3400  +0.000284      +2264  -0.004666   -0.07745  -446.5539
   +3.3500 +0.0002337      +1863  -0.005391   -0.06748  -499.1270
   +3.3600 +0.0001766      +1408  -0.006006   -0.05556  -536.7722
   +3.3700  +0.000114     +908.7  -0.006493   -0.04191  -558.0949
   +3.3800 +4.722e-05     +376.4  -0.006837   -0.02682  -562.1844
   +3.3900 -2.222e-05     -177.1  -0.007024   -0.01061  -548.6556
   +3.4000 -9.271e-05       -739  -0.007045  +0.006325  -517.6758
   +3.4100 -0.0001626      -1296  -0.006896    +0.0236  -469.9738
   +3.4200 -0.0002301      -1834  -0.006574   +0.04077  -406.8316
   +3.4300 -0.0002935      -2339  -0.006083   +0.05741  -330.0569
   +3.4400 -0.0003512      -2799  -0.005431   +0.07307  -241.9383
   +3.4500 -0.0004016      -3201  -0.004629   +0.08732  -145.1827
   +3.4600 -0.0004433      -3534  -0.003693   +0.09974   -42.8363
   +3.4700 -0.0004751      -3787  -0.002645      +0.11   +61.8073
   +3.4800 -0.0004959      -3953  -0.001507    +0.1177  +165.3112
   +3.4900  -0.000505      -4026 -0.0003054    +0.1226  +264.2068
   +3.5000 -0.0005019      -4001 +0.0009297    +0.1245  +355.1108
   +3.5100 -0.0004864      -3877  +0.002168    +0.1232  +434.8422
   +3.5200 -0.0004586      -3656  +0.003378    +0.1188  +500.5363
   +3.5300  -0.000419      -3340  +0.004527    +0.1111  +549.7517
   +3.5400 -0.0003684      -2937  +0.005586    +0.1005  +580.5657
   +3.5500 -0.0003077      -2453  +0.006523   +0.08699  +591.6540
   +3.5600 -0.0002384      -1901  +0.007313   +0.07094  +582.3529
   +3.5700 -0.0001621      -1292  +0.007931    +0.0527  +552.6994
